Date,Price,Open,High,Low,Volume,Change(%)
30 Nov 2021,206.75,200.3,209.5,200.3,28304736,3.25%
29 Nov 2021,200.25,199,204,198.5,12049611,-0.87%
26 Nov 2021,202,204.05,204.95,200.8,9610903,-1.10%
25 Nov 2021,204.25,202.6,205,201.25,13903091,0.47%
24 Nov 2021,203.3,202.2,207.45,202,13590359,0.72%
23 Nov 2021,201.85,193.25,202.4,193.15,14753654,3.94%
22 Nov 2021,194.2,194.4,197,192,18821791,0.88%
18 Nov 2021,192.5,191.85,194.45,191.05,8057200,0.76%
17 Nov 2021,191.05,187,193.8,187,13769624,1.84%
16 Nov 2021,187.6,189,191.35,186.5,17404748,-0.37%
15 Nov 2021,188.3,182.2,188.75,182,18616006,3.46%
12 Nov 2021,182,183.7,183.7,180.3,7193005,-0.08%
11 Nov 2021,182.15,185,185.25,180.7,6638516,-1.22%
10 Nov 2021,184.4,185.95,186.5,183.55,10393389,-1.15%
09 Nov 2021,186.55,190.35,190.35,185.3,7785863,-1.37%
08 Nov 2021,189.15,187.6,190.35,184.6,8960493,2.22%
04 Nov 2021,185.05,184.95,185.85,184.25,622661,0.60%
03 Nov 2021,183.95,185.5,187.3,183,10468296,-0.84%
02 Nov 2021,185.5,188.65,191.25,185.15,8210168,-1.20%
01 Nov 2021,187.75,184.6,188.5,184.55,4106365,1.46%
29 Oct 2021,185.05,186.9,188.65,181.3,9741027,-0.46%
28 Oct 2021,185.9,190.7,191.1,185.25,8321429,-2.29%
27 Oct 2021,190.25,190.15,191.85,188.55,7397010,-0.08%
26 Oct 2021,190.4,192.6,192.95,189.7,6394388,-1.17%
25 Oct 2021,192.65,194.45,195,190.5,5896815,-0.93%
22 Oct 2021,194.45,195.9,197,191.25,5779403,0.21%
21 Oct 2021,194.05,196.25,197.35,193.5,12709911,-0.15%
20 Oct 2021,194.35,200,200.25,193.35,16432451,-2.16%
19 Oct 2021,198.65,204,204.8,197,12130633,-2.53%
18 Oct 2021,203.8,209.8,209.95,202.15,28909774,-0.42%
14 Oct 2021,204.65,200.2,205.95,198.25,14389092,2.63%
13 Oct 2021,199.4,195.1,204.5,194.15,24806711,3.13%
12 Oct 2021,193.35,193.9,194.65,191.65,6404975,-0.05%
11 Oct 2021,193.45,190,195.1,189.3,9736532,3.06%
08 Oct 2021,187.7,189,190.15,187,6123882,-0.32%
07 Oct 2021,188.3,191,191.55,187.6,5050275,0.37%
06 Oct 2021,187.6,191.95,192.15,186.75,6697131,-1.24%
05 Oct 2021,189.95,191.65,195.1,189.35,12900644,-0.89%
04 Oct 2021,191.65,192,193.05,190.05,8067965,-0.10%
01 Oct 2021,191.85,190.8,193.5,189.65,12746178,1.03%
30 Sep 2021,189.9,194.95,198,188.65,17713650,-2.64%
29 Sep 2021,195.05,183.5,196.3,182.45,40264997,6.03%
28 Sep 2021,183.95,176.85,188.9,176.1,29155220,4.52%
27 Sep 2021,176,176.5,177.15,175.1,3904237,-0.09%
24 Sep 2021,176.15,178.3,179.5,175.8,5320059,-1.18%
23 Sep 2021,178.25,177,178.75,177,7721935,0.85%
22 Sep 2021,176.75,175.8,177.45,175.8,6874226,0.48%
21 Sep 2021,175.9,176.05,178.4,175.45,7110756,-0.62%
20 Sep 2021,177,177.2,179.2,175.1,5874802,-1.01%
17 Sep 2021,178.8,179.55,180.4,176.75,15914420,-0.36%
16 Sep 2021,179.45,178.95,181.65,178.3,12161163,0.87%
15 Sep 2021,177.9,174,179,173.75,15048179,2.18%
14 Sep 2021,174.1,173.9,175.1,173.5,6325821,0.12%
13 Sep 2021,173.9,174.25,174.3,172.7,5641863,0.23%
09 Sep 2021,173.5,172.4,174.15,171.9,3808763,0.38%
08 Sep 2021,172.85,171.25,173.6,170.2,19027722,-0.09%
07 Sep 2021,173,174.1,174.15,172.45,9363774,-0.63%
06 Sep 2021,174.1,175.7,176.35,173,10462864,-0.83%
03 Sep 2021,175.55,176,176.8,174.4,9214857,-0.11%
02 Sep 2021,175.75,175.4,176.1,174.2,10158768,0.06%
01 Sep 2021,175.65,177.8,177.8,174.65,8863194,0.17%
31 Aug 2021,175.35,175.5,177.05,174.95,32436250,-0.09%
30 Aug 2021,175.5,175.2,176.35,172.8,10884301,0.66%
27 Aug 2021,174.35,173.8,174.85,171.75,6038775,0.72%
26 Aug 2021,173.1,175.4,175.4,171.6,9086435,-1.37%
25 Aug 2021,175.5,177.2,177.45,175.05,9001014,-0.62%
24 Aug 2021,176.6,177.3,179.3,175.45,8272098,0.54%
23 Aug 2021,175.65,179.5,179.9,174.2,9834559,-1.65%
20 Aug 2021,178.6,177.3,180.05,177.05,14040351,-1.11%
18 Aug 2021,180.6,183.7,186,180.15,18920646,-1.45%
17 Aug 2021,183.25,181.05,183.75,181,11971845,1.41%
16 Aug 2021,180.7,184,184.3,180.4,15981492,-2.19%
13 Aug 2021,184.75,184.2,187.3,183.6,20082633,-1.20%
12 Aug 2021,187,177,187.7,176.3,43580817,6.04%
11 Aug 2021,176.35,172.95,177,172.55,23459974,2.17%
10 Aug 2021,172.6,176.1,176.1,171.35,8943948,-2.18%
09 Aug 2021,176.45,177,177,174.05,12311254,0.83%
06 Aug 2021,175,175.5,176.5,174.55,4005234,-0.11%
05 Aug 2021,175.2,175.25,175.75,173.25,4966037,-0.03%
04 Aug 2021,175.25,175.65,176.6,173.85,17492458,0.46%
03 Aug 2021,174.45,172.55,175.2,171.1,15719577,2.02%
02 Aug 2021,171,171.5,172,169.3,7181817,-0.09%
30 Jul 2021,171.15,169.05,173.2,168.2,25606627,2.24%
29 Jul 2021,167.4,171,173.55,167.15,21457249,-2.15%
28 Jul 2021,171.08,174,174.3,170.55,7778302,-1.62%
27 Jul 2021,173.89,174.75,176.14,172.99,6093515,-0.37%
26 Jul 2021,174.53,175.09,176.51,174.04,7292084,-0.13%
23 Jul 2021,174.75,175.31,175.46,174.04,3746459,-0.11%
22 Jul 2021,174.94,175.88,175.88,171.53,5837810,0.84%
20 Jul 2021,173.48,176.18,177.23,173.21,7975165,-0.79%
19 Jul 2021,174.86,175.39,175.99,173.63,7720835,-0.30%
16 Jul 2021,175.39,173.74,177.38,172.88,8945881,1.50%
15 Jul 2021,172.8,173.25,173.59,171.98,3024464,0.20%
14 Jul 2021,172.46,171.49,173.59,171.34,5191171,0.57%
13 Jul 2021,171.49,172.8,173.93,171.23,4648664,-0.15%
12 Jul 2021,171.75,173.03,173.81,171.15,3137800,-0.54%
09 Jul 2021,172.69,173.29,173.59,172.5,1682357,-0.39%
08 Jul 2021,173.36,172.58,174.86,172.16,4916257,0.09%
07 Jul 2021,173.21,171.6,173.59,171.6,4066256,0.94%
06 Jul 2021,171.6,172.05,172.88,171.23,3005966,-0.65%
05 Jul 2021,172.73,171.98,173.18,171.26,3852668,1.04%
02 Jul 2021,170.96,173.1,173.33,170.7,5371872,-1.24%
01 Jul 2021,173.1,174.41,174.71,172.65,8957710,-0.69%
30 Jun 2021,174.3,177.86,178.2,174,9808734,-1.53%
29 Jun 2021,177,174.45,178.43,173.74,34362892,1.79%
28 Jun 2021,173.89,174,174.38,173.03,5619149,0.43%
25 Jun 2021,173.14,173.59,174.6,172.05,4351744,-0.13%
24 Jun 2021,173.36,174.19,174.71,171.08,7292369,-0.48%
23 Jun 2021,174.19,176.81,177,174,6030649,-0.77%
22 Jun 2021,175.54,174.04,177.75,174.04,6165871,-0.34%
21 Jun 2021,176.14,173.93,176.59,171.3,6592407,0.80%
18 Jun 2021,174.75,183,183.75,172.58,27719000,-2.86%
17 Jun 2021,179.89,183.04,183.04,177.56,12521910,-0.95%
16 Jun 2021,181.61,185.14,185.63,180.71,17272513,-2.20%
15 Jun 2021,185.7,187.91,188.63,185.29,8452513,-0.44%
14 Jun 2021,186.53,185.96,187.35,181.58,10537107,0.97%
11 Jun 2021,184.73,186.6,186.6,183,16392434,1.93%
10 Jun 2021,181.24,186,186,180.19,18388571,-0.19%
09 Jun 2021,181.58,177,184.13,175.35,22424506,3.44%
08 Jun 2021,175.54,179.21,179.21,174.04,12662869,-0.93%
07 Jun 2021,177.19,170.48,178.35,170.18,10158072,4.47%
04 Jun 2021,169.61,169.5,171.11,168.6,3455150,-0.07%
03 Jun 2021,169.73,171.79,173.59,169.24,5788874,-0.50%
02 Jun 2021,170.59,168.15,171.11,168.08,4497488,1.36%
01 Jun 2021,168.3,169.73,171,167.93,8850226,-0.56%
31 May 2021,169.24,169.5,169.95,167.81,7370024,0.09%
28 May 2021,169.09,173.25,173.25,168.6,8610470,-1.25%
27 May 2021,171.23,170.03,172.2,167.44,28796749,1.20%
26 May 2021,169.2,174.9,175.35,168.71,10306192,-3.14%
25 May 2021,174.68,174.75,175.84,173.36,5155518,0.83%
24 May 2021,173.25,171.75,175.8,171.3,12391275,1.34%
21 May 2021,170.96,171.04,171.94,169.5,12207875,-0.44%
20 May 2021,171.71,175.5,176.21,171.3,6022766,-2.05%
19 May 2021,175.31,175.65,178.5,173.55,15795589,0.27%
18 May 2021,174.83,173.18,179.89,171.38,29747844,2.06%
17 May 2021,171.3,173.21,173.25,170.33,6185447,-0.20%
14 May 2021,171.64,170.81,172.5,167.89,10586699,1.29%
12 May 2021,169.46,167.55,176.25,167.29,31300529,1.14%
11 May 2021,167.55,165,168.9,163.8,12935130,1.61%
10 May 2021,164.89,161.55,165.11,161.21,10038140,2.47%
07 May 2021,160.91,162.26,162.6,160.13,7036647,-0.40%
06 May 2021,161.55,163.84,164.55,160.2,10588285,-1.28%
05 May 2021,163.65,163.54,165.26,162.6,13037762,0.07%
04 May 2021,163.54,166.05,166.28,162.53,11732310,-1.24%
03 May 2021,165.6,163.13,167.14,162.56,8734538,0.34%
30 Apr 2021,165.04,163.31,166.73,162.49,9504624,-0.04%
29 Apr 2021,165.11,167.33,167.74,164.29,8303610,-0.34%
28 Apr 2021,165.68,164.1,166.28,162.23,9215766,1.96%
27 Apr 2021,162.49,162.04,165.38,161.85,8589721,0.40%
26 Apr 2021,161.85,156.15,162.34,156.15,10765892,2.20%
23 Apr 2021,158.36,153.23,159.68,153,21553903,3.78%
